1,John Doe,1,101,Burger,5.99,2,2023-10-01T12:00:00
1,John Doe,1,102,Coke,1.99,1,2023-10-01T12:00:10
2,Jane Smith,2,103,Pizza,8.99,1,2023-10-01T12:15:00
2,Jane Smith,2,104,Salad,4.99,1,2023-10-01T12:15:10
3,Bob Johnson,3,105,Pasta,7.99,3,2023-10-01T12:30:00
3,Bob Johnson,3,106,Water,0.99,1,2023-10-01T12:30:10
4,Susan Lee,4,107,Sandwich,6.99,2,2023-10-01T12:45:00
4,Susan Lee,4,108,Juice,2.99,1,2023-10-01T12:45:10
5,Michael Brown,5,109,Chicken Wings,9.99,1,2023-10-01T13:00:00
5,Michael Brown,5,110,Beer,3.99,1,2023-10-01T13:00:10
6,Emily Davis,6,111,Steak,15.99,1,2023-10-01T13:15:00
6,Emily Davis,6,112,Wine,5.99,1,2023-10-01T13:15:10
7,David Wilson,7,113,Fish and Chips,12.99,2,2023-10-01T13:30:00
7,David Wilson,7,114,Sprite,2.49,1,2023-10-01T13:30:10
8,Mary Anderson,8,115,Tacos,4.99,3,2023-10-01T13:45:00
8,Mary Anderson,8,116,Tea,1.49,1,2023-10-01T13:45:10
9,James Thomas,9,117,Fried Rice,8.99,1,2023-10-01T14:00:00
9,James Thomas,9,118,Milkshake,3.49,1,2023-10-01T14:00:10
10,Linda Martin,10,119,Burrito,6.99,2,2023-10-01T14:15:00
10,Linda Martin,10,120,Coffee,1.99,1,2023-10-01T14:15:10
11,Daniel Jackson,11,121,Ramen,9.99,1,2023-10-01T14:30:00
11,Daniel Jackson,11,122,Green Tea,1.49,1,2023-10-01T14:30:10
12,Jennifer Thompson,12,123,Ice Cream,2.99,2,2023-10-01T14:45:00
12,Jennifer Thompson,12,124,Lemonade,2.99,1,2023-10-01T14:45:10
13,Paul White,13,125,Hot Dog,5.99,2,2023-10-01T15:00:00
13,Paul White,13,126,Pepsi,1.99,1,2023-10-01T15:00:10
14,Barbara Harris,14,127,Salmon,14.99,1,2023-10-01T15:15:00
14,Barbara Harris,14,128,Champagne,10.99,1,2023-10-01T15:15:10
15,Richard Clark,15,129,Sushi,11.99,3,2023-10-01T15:30:00
15,Richard Clark,15,130,Sake,3.49,1,2023-10-01T15:30:10
16,Patricia Lewis,16,131,Salad,6.99,1,2023-10-01T15:45:00
16,Patricia Lewis,16,132,Water,0.99,1,2023-10-01T15:45:10
17,Charles Walker,17,133,Bagel,4.99,2,2023-10-01T16:00:00
17,Charles Walker,17,134,Coffee,1.99,1,2023-10-01T16:00:10
18,Jessica Robinson,18,135,Donut,2.99,3,2023-10-01T16:15:00
18,Jessica Robinson,18,136,Hot Chocolate,2.49,1,2023-10-01T16:15:10
19,Laura Young,19,137,Omelette,5.99,2,2023-10-01T16:30:00
19,Laura Young,19,138,Orange Juice,1.99,1,2023-10-01T16:30:10
20,Steven King,20,139,Nachos,7.99,1,2023-10-01T16:45:00
20,Steven King,20,140,Margarita,4.99,1,2023-10-01T16:45:10
21,Dorothy Allen,21,141,Wrap,6.99,2,2023-10-01T17:00:00
21,Dorothy Allen,21,142,Lemonade,2.49,1,2023-10-01T17:00:10
22,Mark Wright,22,143,Taco Salad,8.99,1,2023-10-01T17:15:00
22,Mark Wright,22,144,Sprite,1.99,1,2023-10-01T17:15:10
23,Karen Scott,23,145,Chicken Sandwich,6.99,1,2023-10-01T17:30:00
23,Karen Scott,23,146,Water,0.99,1,2023-10-01T17:30:10
24,Joseph Green,24,147,Pasta,7.99,2,2023-10-01T17:45:00
24,Joseph Green,24,148,Red Wine,5.99,1,2023-10-01T17:45:10
25,Nancy Baker,25,149,Cheesecake,4.99,3,2023-10-01T18:00:00
25,Nancy Baker,25,150,Tea,1.49,1,2023-10-01T18:00:10
26,Diana Mitchell,26,151,Beef Stroganoff,12.99,1,2023-10-01T18:15:00
26,Diana Mitchell,26,152,White Wine,6.49,1,2023-10-01T18:15:10
27,Christopher Lee,27,153,Pad Thai,9.99,1,2023-10-01T18:30:00
27,Christopher Lee,27,154,Thai Iced Tea,2.99,1,2023-10-01T18:30:10
28,Michelle Roberts,28,155,Grilled Cheese,5.99,2,2023-10-01T18:45:00
28,Michelle Roberts,28,156,Iced Coffee,3.49,1,2023-10-01T18:45:10
29,Matthew Nelson,29,157,Hamburger,8.99,1,2023-10-01T19:00:00
29,Matthew Nelson,29,158,Root Beer,2.49,1,2023-10-01T19:00:10
30,Betty Perez,30,159,Sliders,7.99,2,2023-10-01T19:15:00
30,Betty Perez,30,160,Water,0.99,1,2023-10-01T19:15:10
31,James Carter,31,161,Clam Chowder,6.99,1,2023-10-01T19:30:00
31,James Carter,31,162,Apple Cider,2.99,1,2023-10-01T19:30:10
32,Betty Ward,32,163,Gyro,5.99,2,2023-10-01T19:45:00
32,Betty Ward,32,164,Coke,1.99,1,2023-10-01T19:45:10
33,John Sanders,33,165,Turkey Sandwich,6.99,1,2023-10-01T20:00:00
33,John Sanders,33,166,Iced Tea,1.99,1,2023-10-01T20:00:10
34,Laura Rodriguez,34,167,Burrito Bowl,8.99,2,2023-10-01T20:15:00
34,Laura Rodriguez,34,168,Lemonade,2.49,1,2023-10-01T20:15:10
35,Michael Hill,35,169,Chicken Curry,9.99,1,2023-10-01T20:30:00
35,Michael Hill,35,170,Mango Lassi,3.99,1,2023-10-01T20:30:10
36,Shirley Campbell,36,171,Souvlaki,7.99,1,2023-10-01T20:45:00
36,Shirley Campbell,36,172,Beer,3.99,1,2023-10-01T20:45:10
37,David Stewart,37,173,Falafel,5.99,1,2023-10-01T21:00:00
37,David Stewart,37,174,Lemonade,1.99,1,2023-10-01T21:00:10
38,Steven Young,38,175,Caesar Salad,6.99,2,2023-10-01T21:15:00
38,Steven Young,38,176,Sparkling Water,2.49,1,2023-10-01T21:15:10
39,Dorothy Sanchez,39,177,BBQ Chicken,10.99,1,2023-10-01T21:30:00
39,Dorothy Sanchez,39,178,Cola,1.99,1,2023-10-01T21:30:10
40,Ethan Russell,40,179,Spaghetti,8.99,2,2023-10-01T21:45:00
40,Ethan Russell,40,180,Orange Juice,1.99,1,2023-10-01T21:45:10
41,Diana Phillips,41,181,Lasagna,9.99,1,2023-10-01T22:00:00
41,Diana Phillips,41,182,Apple Juice,1.99,1,2023-10-01T22:00:10
42,James Evans,42,183,Garden Salad,5.99,1,2023-10-01T22:15:00
42,James Evans,42,184,Lemonade,2.49,1,2023-10-01T22:15:10
43,Laura Edwards,43,185,Steak,15.99,1,2023-10-01T22:30:00
43,Laura Edwards,43,186,Red Wine,6.99,1,2023-10-01T22:30:10
44,Thomas Collins,44,187,Fish Tacos,7.99,2,2023-10-01T22:45:00
44,Thomas Collins,44,188,Beer,3.49,1,2023-10-01T22:45:10
45,Barbara Cruz,45,189,French Toast,5.99,1,2023-10-01T23:00:00
